competition,role,judge,country
wc2023data0150,Judge No.4,Kevin ROSENSTEIN,USA
wc2023data0150,Judge No.5,Ulla FAIG,Germany
wc2023data0150,Judge No.6,Marta OLOZAGARRE,Spain
wc2023data0150,Judge No.7,Andrea SIMANCIKOVA,Slovakia
wc2023data0150,Judge No.8,Na Young AHN,South Korea
wc2023data0150,Judge No.9,Adrienn SCHADENBAUER,Austria
wc2023data0230,Judge No.1,Thomas BIEGLER,Austria
wc2023data0230,Judge No.2,Ko-Man TING,Taiwan
wc2023data0230,Judge No.3,Margo PAUW,Netherlands
wc2023data0230,Judge No.4,Anna SIEROCKA,Poland
wc2023data0230,Judge No.5,Yury KLIUSHNIKOV,Azerbaijan
wc2023data0230,Judge No.6,Doug WILLIAMS,USA
wc2023data0230,Judge No.7,Kadi ZVIRIK,Estonia
wc2023data0230,Judge No.8,Tatiana YORDANOVA,Bulgaria
wc2023data0230,Judge No.9,Sung Hee KOH,South Korea
wc2023data0250,Judge No.1,Donatella LEONELLI,Switzerland
wc2023data0250,Judge No.2,Ko-Man TING,Taiwan
wc2023data0250,Judge No.3,Tatiana YORDANOVA,Bulgaria
wc2023data0250,Judge No.4,Salome CHIGOGIDZE,Georgia
wc2023data0250,Judge No.5,Breda MARINSEK,Slovenia
wc2023data0250,Judge No.6,Masako KUBOTA,Japan
wc2023data0250,Judge No.7,Kadi ZVIRIK,Estonia
wc2023data0250,Judge No.8,Doug WILLIAMS,USA
wc2023data0250,Judge No.9,Margo PAUW,Netherlands
gpusa2022SEG001OF,Judge No.1,Lorrie PARKER,USA
gpusa2022SEG001OF,Judge No.2,Zanna KULIK,Estonia
gpusa2022SEG001OF,Judge No.3,Ariadna MORONES NEGRETE,Mexico
gpusa2022SEG001OF,Judge No.4,Chihee RHEE,South Korea
gpusa2022SEG001OF,Judge No.5,Massimo ORLANDINI,Italy
gpusa2022SEG001OF,Judge No.6,Andrew BOSCO,Canada
gpusa2022SEG001OF,Judge No.7,Tineke POSNO,Netherlands
gpusa2022SEG001OF,Judge No.8,Masako KUBOTA,Japan
gpusa2022SEG001OF,Judge No.9,Patricia MORITZ,Australia
gpusa2022SEG002OF,Judge No.1,Lorrie PARKER,USA
gpusa2022SEG002OF,Judge No.2,Zanna KULIK,Estonia
gpusa2022SEG002OF,Judge No.3,Ariadna MORONES NEGRETE,Mexico
gpusa2022SEG002OF,Judge No.4,Chihee RHEE,South Korea
gpusa2022SEG002OF,Judge No.5,Massimo ORLANDINI,Italy
gpusa2022SEG002OF,Judge No.6,Andrew BOSCO,Canada
gpusa2022SEG002OF,Judge No.7,Tineke POSNO,Netherlands
gpusa2022SEG002OF,Judge No.8,Masako KUBOTA,Japan
gpusa2022SEG002OF,Judge No.9,Patricia MORITZ,Australia
gpusa2022SEG003OF,Judge No.1,Susanne SJÖQUIST,Sweden
gpusa2022SEG003OF,Judge No.2,Ariadna MORONES NEGRETE,Mexico
gpusa2022SEG003OF,Judge No.3,Laimute KRAUZIENE,Lithuania
gpusa2022SEG003OF,Judge No.4,Malgorzata SOBKOW,Poland
gpusa2022SEG003OF,Judge No.5,Kristina LUNDGREN,USA
gpusa2022SEG003OF,Judge No.6,Chihee RHEE,South Korea
gpusa2022SEG003OF,Judge No.7,Jacqueline WICKETT-WARREN,Canada
gpusa2022SEG003OF,Judge No.8,Masako KUBOTA,Japan
gpusa2022SEG003OF,Judge No.9,Tobias BAYER,Germany
gpusa2022SEG004OF,Judge No.1,Susanne SJÖQUIST,Sweden
gpusa2022SEG004OF,Judge No.2,Ariadna MORONES NEGRETE,Mexico
gpusa2022SEG004OF,Judge No.3,Laimute KRAUZIENE,Lithuania
gpusa2022SEG004OF,Judge No.4,Malgorzata SOBKOW,Poland
gpusa2022SEG004OF,Judge No.5,Kristina LUNDGREN,USA
gpusa2022SEG004OF,Judge No.6,Chihee RHEE,South Korea
gpusa2022SEG004OF,Judge No.7,Jacqueline WICKETT-WARREN,Canada
gpusa2022SEG004OF,Judge No.8,Masako KUBOTA,Japan
gpusa2022SEG004OF,Judge No.9,Tobias BAYER,Germany
gpcan2022SEG001OF,Judge No.1,Etsuko AZUMA,Japan
gpcan2022SEG001OF,Judge No.2,Saara EHALT,Finland
gpcan2022SEG001OF,Judge No.3,Wei SHI,Canada
gpcan2022SEG001OF,Judge No.4,Bettina MEIER,Switzerland
gpcan2022SEG001OF,Judge No.5,Massimo ORLANDINI,Italy
gpcan2022SEG001OF,Judge No.6,Kevin ROSENSTEIN,USA
gpcan2022SEG001OF,Judge No.7,Miroslav MISUREC,Czech Republic
gpcan2022SEG001OF,Judge No.8,Zanna KULIK,Estonia
gpcan2022SEG001OF,Judge No.9,Lorna SCHRODER,Canada
gpcan2022SEG002OF,Judge No.1,Etsuko AZUMA,Japan
gpcan2022SEG002OF,Judge No.2,Saara EHALT,Finland
gpcan2022SEG002OF,Judge No.3,Wei SHI,Canada
gpcan2022SEG002OF,Judge No.4,Bettina MEIER,Switzerland
gpcan2022SEG002OF,Judge No.5,Massimo ORLANDINI,Italy
gpcan2022SEG002OF,Judge No.6,Kevin ROSENSTEIN,USA
gpcan2022SEG002OF,Judge No.7,Miroslav MISUREC,Czech Republic
gpcan2022SEG002OF,Judge No.8,Zanna KULIK,Estonia
gpcan2022SEG002OF,Judge No.9,Lorna SCHRODER,Canada
gpcan2022SEG003OF,Judge No.1,Kyung Won SAKONG,South Korea
gpcan2022SEG003OF,Judge No.2,Kevin ROSENSTEIN,USA
gpcan2022SEG003OF,Judge No.3,Wei SHI,Canada
gpcan2022SEG003OF,Judge No.4,Zanna KULIK,Estonia
gpcan2022SEG003OF,Judge No.5,Ludwig CZOCZEK,Germany
gpcan2022SEG003OF,Judge No.6,Akiko KOBAYASHI,Japan
gpcan2022SEG003OF,Judge No.7,Veronique GOSSELIN,Canada
gpcan2022SEG003OF,Judge No.8,Saara EHALT,Finland
gpcan2022SEG003OF,Judge No.9,Frantisek BAUDYS,Czech Republic
gpcan2022SEG004OF,Judge No.1,Kyung Won SAKONG,South Korea
gpcan2022SEG004OF,Judge No.2,Kevin ROSENSTEIN,USA
gpcan2022SEG004OF,Judge No.3,Wei SHI,Canada
gpcan2022SEG004OF,Judge No.4,Zanna KULIK,Estonia
gpcan2022SEG004OF,Judge No.5,Ludwig CZOCZEK,Germany
gpcan2022SEG004OF,Judge No.6,Akiko KOBAYASHI,Japan
gpcan2022SEG004OF,Judge No.7,Veronique GOSSELIN,Canada
gpcan2022SEG004OF,Judge No.8,Saara EHALT,Finland
gpcan2022SEG004OF,Judge No.9,Frantisek BAUDYS,Czech Republic
gpfra2022SEG001OF,Judge No.1,Natalia KRUGLOVA,Ukraine
gpfra2022SEG001OF,Judge No.2,Jung Sue LEE,South Korea
gpfra2022SEG001OF,Judge No.3,Francoise de RAPPARD,Belgium
gpfra2022SEG001OF,Judge No.4,Yuriy GUSKOV,Kazakhstan
gpfra2022SEG001OF,Judge No.5,Kadi ZVIRIK,Estonia
gpfra2022SEG001OF,Judge No.6,Nobuhiko YOSHIOKA,Japan
gpfra2022SEG001OF,Judge No.7,Beth CRANE,Canada
gpfra2022SEG001OF,Judge No.8,Helene CUCUPHAT,France
gpfra2022SEG001OF,Judge No.9,Marketa HORKLOVA,Czech Republic
gpfra2022SEG002OF,Judge No.1,Natalia KRUGLOVA,Ukraine
gpfra2022SEG002OF,Judge No.2,Jung Sue LEE,South Korea
gpfra2022SEG002OF,Judge No.3,Francoise de RAPPARD,Belgium
gpfra2022SEG002OF,Judge No.4,Yuriy GUSKOV,Kazakhstan
gpfra2022SEG002OF,Judge No.5,Kadi ZVIRIK,Estonia
gpfra2022SEG002OF,Judge No.6,Nobuhiko YOSHIOKA,Japan
gpfra2022SEG002OF,Judge No.7,Beth CRANE,Canada
gpfra2022SEG002OF,Judge No.8,Helene CUCUPHAT,France
gpfra2022SEG002OF,Judge No.9,Marketa HORKLOVA,Czech Republic
gpfra2022SEG003OF,Judge No.1,Veronique VERRUE,France
gpfra2022SEG003OF,Judge No.2,Kersten BELLMANN,Germany
gpfra2022SEG003OF,Judge No.3,Greonne BOL,Netherlands
gpfra2022SEG003OF,Judge No.4,Jung Sue LEE,South Korea
gpfra2022SEG003OF,Judge No.5,Nobuhiko YOSHIOKA,Japan
gpfra2022SEG003OF,Judge No.6,Francoise de RAPPARD,Belgium
gpfra2022SEG003OF,Judge No.7,Ron CONACHER,Canada
gpfra2022SEG003OF,Judge No.8,Doug WILLIAMS,USA
gpfra2022SEG003OF,Judge No.9,Thomas BIEGLER,Austria
gpfra2022SEG004OF,Judge No.1,Veronique VERRUE,France
gpfra2022SEG004OF,Judge No.2,Kersten BELLMANN,Germany
gpfra2022SEG004OF,Judge No.3,Greonne BOL,Netherlands
gpfra2022SEG004OF,Judge No.4,Jung Sue LEE,South Korea
gpfra2022SEG004OF,Judge No.5,Nobuhiko YOSHIOKA,Japan
gpfra2022SEG004OF,Judge No.6,Francoise de RAPPARD,Belgium
gpfra2022SEG004OF,Judge No.7,Ron CONACHER,Canada
gpfra2022SEG004OF,Judge No.8,Doug WILLIAMS,USA
gpfra2022SEG004OF,Judge No.9,Thomas BIEGLER,Austria
gpjpn2022data0130,Judge No.1,Walter TOIGO,Italy
gpjpn2022data0130,Judge No.2,Na Young AHN,South Korea
gpjpn2022data0130,Judge No.3,Philippe MERIGUET,France
gpjpn2022data0130,Judge No.4,Susan MORRISS,Canada
gpjpn2022data0130,Judge No.5,Jia YAO,China
gpjpn2022data0130,Judge No.6,Tobias STEINDL,Austria
gpjpn2022data0130,Judge No.7,Mami MAEDA,Japan
gpjpn2022data0130,Judge No.8,Laimute KRAUZIENE,Lithuania
gpjpn2022data0130,Judge No.9,Deveny DECK,USA
gpjpn2022data0150,Judge No.1,Walter TOIGO,Italy
gpjpn2022data0150,Judge No.2,Na Young AHN,South Korea
gpjpn2022data0150,Judge No.3,Philippe MERIGUET,France
gpjpn2022data0150,Judge No.4,Susan MORRISS,Canada
gpjpn2022data0150,Judge No.5,Jia YAO,China
gpjpn2022data0150,Judge No.6,Tobias STEINDL,Austria
gpjpn2022data0150,Judge No.7,Mami MAEDA,Japan
gpjpn2022data0150,Judge No.8,Laimute KRAUZIENE,Lithuania
gpjpn2022data0150,Judge No.9,Deveny DECK,USA
gpjpn2022data0230,Judge No.1,Na Young AHN,South Korea
gpjpn2022data0230,Judge No.2,Jitka MOKRA,Czech Republic
gpjpn2022data0230,Judge No.3,Tobias STEINDL,Austria
gpjpn2022data0230,Judge No.4,Deveny DECK,USA
gpjpn2022data0230,Judge No.5,Mami MAEDA,Japan
gpjpn2022data0230,Judge No.6,Kylie Anne YACOPETTI,Australia
gpjpn2022data0230,Judge No.7,Sabrina WONG,Canada
gpjpn2022data0230,Judge No.8,Halina GORDON POLTORAK,Poland
gpjpn2022data0230,Judge No.9,Kadi ZVIRIK,Estonia
gpjpn2022data0250,Judge No.1,Na Young AHN,South Korea
gpjpn2022data0250,Judge No.2,Jitka MOKRA,Czech Republic
gpjpn2022data0250,Judge No.3,Tobias STEINDL,Austria
gpjpn2022data0250,Judge No.4,Deveny DECK,USA
gpjpn2022data0250,Judge No.5,Mami MAEDA,Japan
gpjpn2022data0250,Judge No.6,Kylie Anne YACOPETTI,Australia
gpjpn2022data0250,Judge No.7,Sabrina WONG,Canada
gpjpn2022data0250,Judge No.8,Halina GORDON POLTORAK,Poland
gpjpn2022data0250,Judge No.9,Kadi ZVIRIK,Estonia
gpfin2022SEG001OF,Judge No.1,Anthony LEROY,France
gpfin2022SEG001OF,Judge No.2,Karolina MATESA,Sweden
gpfin2022SEG001OF,Judge No.3,Jelena GALIMOVA,Estonia
gpfin2022SEG001OF,Judge No.4,Erica TOPOLSKI,Canada
gpfin2022SEG001OF,Judge No.5,Antony GREVISSE,Belgium
gpfin2022SEG001OF,Judge No.6,Yuko OGAWA,Japan
gpfin2022SEG001OF,Judge No.7,Anu NIINIRANTA,Finland
gpfin2022SEG001OF,Judge No.8,Yuriy GUSKOV,Kazakhstan
gpfin2022SEG001OF,Judge No.9,Todd BROMLEY,USA
gpfin2022SEG002OF,Judge No.1,Anthony LEROY,France
gpfin2022SEG002OF,Judge No.2,Karolina MATESA,Sweden
gpfin2022SEG002OF,Judge No.3,Jelena GALIMOVA,Estonia
gpfin2022SEG002OF,Judge No.4,Erica TOPOLSKI,Canada
gpfin2022SEG002OF,Judge No.5,Antony GREVISSE,Belgium
gpfin2022SEG002OF,Judge No.6,Yuko OGAWA,Japan
gpfin2022SEG002OF,Judge No.7,Anu NIINIRANTA,Finland
gpfin2022SEG002OF,Judge No.8,Yuriy GUSKOV,Kazakhstan
gpfin2022SEG002OF,Judge No.9,Todd BROMLEY,USA
gpfin2022SEG003OF,Judge No.1,Laura CARR,Canada
gpfin2022SEG003OF,Judge No.2,Marjo KANKAANRANTA,Finland
gpfin2022SEG003OF,Judge No.3,Antony GREVISSE,Belgium
gpfin2022SEG003OF,Judge No.4,Katherine Evelyn du PREEZ,Autralia
gpfin2022SEG003OF,Judge No.5,Jelena GALIMOVA,Estonia
gpfin2022SEG003OF,Judge No.6,Todd BROMLEY,USA
gpfin2022SEG003OF,Judge No.7,Yuko OGAWA,Japan
gpfin2022SEG003OF,Judge No.8,Salome CHIGOGIDZE,Georgia
gpfin2022SEG003OF,Judge No.9,Anthony LEROY,France
gpfin2022SEG004OF,Judge No.1,Laura CARR,Canada
gpfin2022SEG004OF,Judge No.2,Marjo KANKAANRANTA,Finland
gpfin2022SEG004OF,Judge No.3,Antony GREVISSE,Belgium
gpfin2022SEG004OF,Judge No.4,Katherine Evelyn du PREEZ,Autralia
gpfin2022SEG004OF,Judge No.5,Jelena GALIMOVA,Estonia
gpfin2022SEG004OF,Judge No.6,Todd BROMLEY,USA
gpfin2022SEG004OF,Judge No.7,Yuko OGAWA,Japan
gpfin2022SEG004OF,Judge No.8,Salome CHIGOGIDZE,Georgia
gpfin2022SEG004OF,Judge No.9,Anthony LEROY,France
gpf2022SEG001OF,Judge No.1,Florence VUYLSTEKER,France
gpf2022SEG001OF,Judge No.2,Tarja RISTANEN,Finland
gpf2022SEG001OF,Judge No.3,Richard KOSINA,Czech Republic
gpf2022SEG001OF,Judge No.4,Deborah CURRIE,USA
gpf2022SEG001OF,Judge No.5,Janice HUNTER,Canada
gpf2022SEG001OF,Judge No.6,Gloria MORANDI,Italy
gpf2022SEG001OF,Judge No.7,Natalia KRUGLOVA,Ukraine
gpf2022SEG001OF,Judge No.8,Ayumi ONO,Japan
gpf2022SEG001OF,Judge No.9,Matthew MILLER,Great Britain
gpf2022SEG002OF,Judge No.1,Florence VUYLSTEKER,France
gpf2022SEG002OF,Judge No.2,Tarja RISTANEN,Finland
gpf2022SEG002OF,Judge No.3,Richard KOSINA,Czech Republic
gpf2022SEG002OF,Judge No.4,Deborah CURRIE,USA
gpf2022SEG002OF,Judge No.5,Janice HUNTER,Canada
gpf2022SEG002OF,Judge No.6,Gloria MORANDI,Italy
gpf2022SEG002OF,Judge No.7,Natalia KRUGLOVA,Ukraine
gpf2022SEG002OF,Judge No.8,Ayumi ONO,Japan
gpf2022SEG002OF,Judge No.9,Matthew MILLER,Great Britain
gpf2022SEG003OF,Judge No.1,So Young AN,South Korea
gpf2022SEG003OF,Judge No.2,Hal MARRON,USA
gpf2022SEG003OF,Judge No.3,Masako KUBOTA,Japan
gpf2022SEG003OF,Judge No.4,Kerstin KIMMINUS,Germany
gpf2022SEG003OF,Judge No.5,Nicole LEBLANC-RICHARD,Canada
gpf2022SEG003OF,Judge No.6,Leah BATES,Australia
gpf2022SEG003OF,Judge No.7,Walter TOIGO,Italy
gpf2022SEG003OF,Judge No.8,Tarja RISTANEN,Finland
gpf2022SEG003OF,Judge No.9,Francoise de RAPPARD,Belgium
gpf2022SEG004OF,Judge No.1,So Young AN,South Korea
gpf2022SEG004OF,Judge No.2,Hal MARRON,USA
gpf2022SEG004OF,Judge No.3,Masako KUBOTA,Japan
gpf2022SEG004OF,Judge No.4,Kerstin KIMMINUS,Germany
gpf2022SEG004OF,Judge No.5,Nicole LEBLANC-RICHARD,Canada
gpf2022SEG004OF,Judge No.6,Leah BATES,Australia
gpf2022SEG004OF,Judge No.7,Walter TOIGO,Italy
gpf2022SEG004OF,Judge No.8,Tarja RISTANEN,Finland
gpf2022SEG004OF,Judge No.9,Francoise de RAPPARD,Belgium
fc2022SEG001OF,Judge No.1,Doug WILLIAMS,USA
fc2022SEG001OF,Judge No.2,Young Kyung HAN,South Korea
fc2022SEG001OF,Judge No.3,Tatiana SHARKINA,Russia
fc2022SEG001OF,Judge No.4,Zoia YORDANOVA,Bulgaria
fc2022SEG001OF,Judge No.5,Ritsuko HORIUCHI,Japan
fc2022SEG001OF,Judge No.6,Sasha MARTINEZ,Mexico
fc2022SEG001OF,Judge No.7,Katherine Evelyn du PREEZ,Autralia
fc2022SEG001OF,Judge No.8,Jeff LUKASIK,Canada
fc2022SEG002OF,Judge No.1,Ritsuko HORIUCHI,Japan
fc2022SEG002OF,Judge No.2,Doug WILLIAMS,USA
fc2022SEG002OF,Judge No.3,Tatiana SHARKINA,Russia
fc2022SEG002OF,Judge No.4,Zoia YORDANOVA,Bulgaria
fc2022SEG002OF,Judge No.5,Young Kyung HAN,South Korea
fc2022SEG002OF,Judge No.6,Sasha MARTINEZ,Mexico
fc2022SEG002OF,Judge No.7,Katherine Evelyn du PREEZ,Autralia
fc2022SEG002OF,Judge No.8,Jeff LUKASIK,Canada
fc2022SEG003OF,Judge No.1,Ariadna MORONES NEGRETE,Mexico
fc2022SEG003OF,Judge No.2,Beth CRANE,Canada
fc2022SEG003OF,Judge No.3,Yuriy GUSKOV,Kazakhstan
fc2022SEG003OF,Judge No.4,Ernestien BAKKER,Netherlands
fc2022SEG003OF,Judge No.5,Linda LEAVER,USA
fc2022SEG003OF,Judge No.6,Ayumi KOZUKA,Japan
fc2022SEG003OF,Judge No.7,Anastassiya MAKAROVA,Ukraine
fc2022SEG003OF,Judge No.8,Angelique CLYDE-SMITH,Australia
fc2022SEG003OF,Judge No.9,Sung Hee KOH,South Korea
fc2022SEG004OF,Judge No.1,Anastassiya MAKAROVA,Ukraine
fc2022SEG004OF,Judge No.2,Beth CRANE,Canada
fc2022SEG004OF,Judge No.3,Angelique CLYDE-SMITH,Australia
fc2022SEG004OF,Judge No.4,Ernestien BAKKER,Netherlands
fc2022SEG004OF,Judge No.5,Ayumi KOZUKA,Japan
fc2022SEG004OF,Judge No.6,Ariadna MORONES NEGRETE,Mexico
fc2022SEG004OF,Judge No.7,Sung Hee KOH,South Korea
fc2022SEG004OF,Judge No.8,Yuriy GUSKOV,Kazakhstan
fc2022SEG004OF,Judge No.9,Linda LEAVER,USA
ec2022SEG001OF,Judge No.1,Vessela POPOVA,Bulgaria
ec2022SEG001OF,Judge No.2,Ebru ANILDI,Turkey
ec2022SEG001OF,Judge No.3,Jitka MOKRA,Czech Republic
ec2022SEG001OF,Judge No.4,Mary CHAPMAN,Great Britain
ec2022SEG001OF,Judge No.5,Yury KLIUSHNIKOV,Azerbaijan
ec2022SEG001OF,Judge No.6,Tatiana SHARKINA,Russia
ec2022SEG001OF,Judge No.7,Ekaterina SEROVA,Belarus
ec2022SEG001OF,Judge No.8,Elisabeth LOUESDON,France
ec2022SEG001OF,Judge No.9,Edith SCHILLER,Austria
ec2022SEG002OF,Judge No.1,Nicole van GERWEN-MAAS,Netherlands
ec2022SEG002OF,Judge No.2,Jitka MOKRA,Czech Republic
ec2022SEG002OF,Judge No.3,Edith SCHILLER,Austria
ec2022SEG002OF,Judge No.4,Ekaterina SEROVA,Belarus
ec2022SEG002OF,Judge No.5,Yury KLIUSHNIKOV,Azerbaijan
ec2022SEG002OF,Judge No.6,Elisabeth LOUESDON,France
ec2022SEG002OF,Judge No.7,Tatiana SHARKINA,Russia
ec2022SEG002OF,Judge No.8,Vessela POPOVA,Bulgaria
ec2022SEG002OF,Judge No.9,Ebru ANILDI,Turkey
ec2022SEG003OF,Judge No.1,Antica GRUBISIC,Croatia
ec2022SEG003OF,Judge No.2,Katarina GROF MITROVIC,Serbia
ec2022SEG003OF,Judge No.3,Andreas WALDECK,Germany
ec2022SEG003OF,Judge No.4,Veronique VERRUE,France
ec2022SEG003OF,Judge No.5,Mateja AVBREHT,Slovenia
ec2022SEG003OF,Judge No.6,Kadi ZVIRIK,Estonia
ec2022SEG003OF,Judge No.7,Walter TOIGO,Italy
ec2022SEG003OF,Judge No.8,Tarja RISTANEN,Finland
ec2022SEG003OF,Judge No.9,Nadezhda FIODOROVA,Belarus
ec2022SEG004OF,Judge No.1,Veronique VERRUE,France
ec2022SEG004OF,Judge No.2,Saioa SANCHO,Spain
ec2022SEG004OF,Judge No.3,Antica GRUBISIC,Croatia
ec2022SEG004OF,Judge No.4,Tarja RISTANEN,Finland
ec2022SEG004OF,Judge No.5,Nadezhda FIODOROVA,Belarus
ec2022SEG004OF,Judge No.6,Senem AHISKAL,Turkey
ec2022SEG004OF,Judge No.7,Kadi ZVIRIK,Estonia
ec2022SEG004OF,Judge No.8,Adrienn SCHADENBAUER,Austria
ec2022SEG004OF,Judge No.9,Andreas WALDECK,Germany
wc2022SEG001OF,Judge No.1,Yuriy GUSKOV,Kazakhstan
wc2022SEG001OF,Judge No.2,Ebru ANILDI,Turkey
wc2022SEG001OF,Judge No.3,Emilie BILLOW,Sweden
wc2022SEG001OF,Judge No.4,Katharina RAUCH,Austria
wc2022SEG001OF,Judge No.5,Kadi ZVIRIK,Estonia
wc2022SEG001OF,Judge No.6,Yury KLIUSHNIKOV,Azerbaijan
wc2022SEG001OF,Judge No.7,Philippe MERIGUET,France
wc2022SEG001OF,Judge No.8,Daniela CAVELLI,Italy
wc2022SEG001OF,Judge No.9,Deborah ISLAM,Canada
wc2022SEG002OF,Judge No.1,Deborah ISLAM,Canada
wc2022SEG002OF,Judge No.2,Kadi ZVIRIK,Estonia
wc2022SEG002OF,Judge No.3,Emilie BILLOW,Sweden
wc2022SEG002OF,Judge No.4,Daniela CAVELLI,Italy
wc2022SEG002OF,Judge No.5,Ebru ANILDI,Turkey
wc2022SEG002OF,Judge No.6,Katharina RAUCH,Austria
wc2022SEG002OF,Judge No.7,Philippe MERIGUET,France
wc2022SEG002OF,Judge No.8,Yury KLIUSHNIKOV,Azerbaijan
wc2022SEG002OF,Judge No.9,Yuriy GUSKOV,Kazakhstan
wc2022SEG003OF,Judge No.1,Ko-Man TING,Taiwan
wc2022SEG003OF,Judge No.2,Karen HOWARD,Canada
wc2022SEG003OF,Judge No.3,Tiziana MORANDI,Italy
wc2022SEG003OF,Judge No.4,Laila DAVIDSSON,Sweden
wc2022SEG003OF,Judge No.5,Attila SOOS,Hungary
wc2022SEG003OF,Judge No.6,Hermi OTTEMANN,Netherlands
wc2022SEG003OF,Judge No.7,Ayumi KOZUKA,Japan
wc2022SEG003OF,Judge No.8,Pekka LESKINEN,Finland
wc2022SEG003OF,Judge No.9,Young Kyung HAN,South Korea
wc2022SEG004OF,Judge No.1,Laila DAVIDSSON,Sweden
wc2022SEG004OF,Judge No.2,Young Kyung HAN,South Korea
wc2022SEG004OF,Judge No.3,Tiziana MORANDI,Italy
wc2022SEG004OF,Judge No.4,Attila SOOS,Hungary
wc2022SEG004OF,Judge No.5,Ko-Man TING,Taiwan
wc2022SEG004OF,Judge No.6,Karin EHRHARDT,Austria
wc2022SEG004OF,Judge No.7,Ayumi KOZUKA,Japan
wc2022SEG004OF,Judge No.8,Karen HOWARD,Canada
wc2022SEG004OF,Judge No.9,Vessela POPOVA,Bulgaria
gpusa2021SEG001OF,Judge No.1,Ulla FAIG,Germany
gpusa2021SEG001OF,Judge No.2,Miroslav MISUREC,Czech Republic
gpusa2021SEG001OF,Judge No.3,Pinuccia FERRARIO,Italy
gpusa2021SEG001OF,Judge No.4,Lynne DEY,Canada
gpusa2021SEG001OF,Judge No.5,Lolita LABUNSKAIYA,Russia
gpusa2021SEG001OF,Judge No.6,Ritsuko HORIUCHI,Japan
gpusa2021SEG001OF,Judge No.7,Wendy ENZMANN,USA
gpusa2021SEG001OF,Judge No.8,Helene CUCUPHAT,France
gpusa2021SEG001OF,Judge No.9,Malgorzata SOBKOW,Poland
gpusa2021SEG002OF,Judge No.1,Ulla FAIG,Germany
gpusa2021SEG002OF,Judge No.2,Miroslav MISUREC,Czech Republic
gpusa2021SEG002OF,Judge No.3,Pinuccia FERRARIO,Italy
gpusa2021SEG002OF,Judge No.4,Lynne DEY,Canada
gpusa2021SEG002OF,Judge No.5,Lolita LABUNSKAIYA,Russia
gpusa2021SEG002OF,Judge No.6,Ritsuko HORIUCHI,Japan
gpusa2021SEG002OF,Judge No.7,Wendy ENZMANN,USA
gpusa2021SEG002OF,Judge No.8,Helene CUCUPHAT,France
gpusa2021SEG002OF,Judge No.9,Malgorzata SOBKOW,Poland
gpusa2021SEG003OF,Judge No.1,Erica TOPOLSKI,Canada
gpusa2021SEG003OF,Judge No.2,Olga KOZHEMYAKINA,Russia
gpusa2021SEG003OF,Judge No.3,David MUNOZ,Estonia
gpusa2021SEG003OF,Judge No.4,Jung Sue LEE,South Korea
gpusa2021SEG003OF,Judge No.5,Aniela HEBEL-SZMAK,Poland
gpusa2021SEG003OF,Judge No.6,Zsuzsanna VIKARNE-HOMOLYA,Hungary
gpusa2021SEG003OF,Judge No.7,Ritsuko HORIUCHI,Japan
gpusa2021SEG003OF,Judge No.8,Haya LEENARDS,Netherlands
gpusa2021SEG003OF,Judge No.9,Samuel AUXIER,USA
gpusa2021SEG004OF,Judge No.1,Erica TOPOLSKI,Canada
gpusa2021SEG004OF,Judge No.2,Olga KOZHEMYAKINA,Russia
gpusa2021SEG004OF,Judge No.3,David MUNOZ,Estonia
gpusa2021SEG004OF,Judge No.4,Jung Sue LEE,South Korea
gpusa2021SEG004OF,Judge No.5,Aniela HEBEL-SZMAK,Poland
gpusa2021SEG004OF,Judge No.6,Zsuzsanna VIKARNE-HOMOLYA,Hungary
gpusa2021SEG004OF,Judge No.7,Ritsuko HORIUCHI,Japan
gpusa2021SEG004OF,Judge No.8,Haya LEENARDS,Netherlands
gpusa2021SEG004OF,Judge No.9,Samuel AUXIER,USA
gpcan2021SEG001OF,Judge No.1,Emilie BILLOW,Sweden
gpcan2021SEG001OF,Judge No.2,Tae Ri LEE,South Korea
gpcan2021SEG001OF,Judge No.3,Saara EHALT,Finland
gpcan2021SEG001OF,Judge No.4,Tatiana SHARKINA,Russia
gpcan2021SEG001OF,Judge No.5,Yulia LEVSHUNOVA,Georgia
gpcan2021SEG001OF,Judge No.6,Daniel DELFA,Spain
gpcan2021SEG001OF,Judge No.7,Karen HOWARD,Canada
gpcan2021SEG001OF,Judge No.8,Ritsuko HORIUCHI,Japan
gpcan2021SEG001OF,Judge No.9,Kristina LUNDGREN,USA
gpcan2021SEG002OF,Judge No.1,Emilie BILLOW,Sweden
gpcan2021SEG002OF,Judge No.2,Tae Ri LEE,South Korea
gpcan2021SEG002OF,Judge No.3,Saara EHALT,Finland
gpcan2021SEG002OF,Judge No.4,Tatiana SHARKINA,Russia
gpcan2021SEG002OF,Judge No.5,Yulia LEVSHUNOVA,Georgia
gpcan2021SEG002OF,Judge No.6,Daniel DELFA,Spain
gpcan2021SEG002OF,Judge No.7,Karen HOWARD,Canada
gpcan2021SEG002OF,Judge No.8,Ritsuko HORIUCHI,Japan
gpcan2021SEG002OF,Judge No.9,Kristina LUNDGREN,USA
gpcan2021SEG003OF,Judge No.1,Emilie BILLOW,Sweden
gpcan2021SEG003OF,Judge No.2,Kristina LUNDGREN,USA
gpcan2021SEG003OF,Judge No.3,Daniel DELFA,Spain
gpcan2021SEG003OF,Judge No.4,Glenn FORTIN,Canada
